"","SICto","SICfrom","value"
"1416","50","10.8",0.862688504
"1417","51","10.8",0.807611941
"1418","52","10.8",20.46774579
"1419","53","10.8",161.3890375
"1421","56","10.8",16.98746323
"1422","58","10.8",16.22862473
"1424","61","10.8",22.08732381
"1425","62","10.8",71.98132032
"1426","63","10.8",12.36358533
"1427","64","10.8",528.624491
"1428","65.1-3","10.8",9.828154111
"1429","66","10.8",2.553832879
"1430","68.1-2","10.8",33.03157898
"1432","69.1","10.8",18.6290241
"1433","69.2","10.8",21.94660308
"1434","70","10.8",22.70297057
"1435","71","10.8",36.6580227
"1436","72","10.8",17.78743065
"1437","73","10.8",317.4555191
"1438","74","10.8",15.39451438
"1440","77","10.8",63.36416448
"1441","78","10.8",67.74545731
"1442","79","10.8",11.44479155
"1445","82","10.8",10.68169463
"1446","84","10.8",13.94335971
"1447","85","10.8",23.48431092
"1448","86","10.8",0.809218994
"1453","93","10.8",0.14769357
"1454","94","10.8",1.65436953
"1456","96","10.8",4.02793904
"1457","1","10.9",427.2676933
"1460","5","10.9",2.493296536
"1464","10.1","10.9",130.3700324
"1465","10.2-3","10.9",40.54670806
"1466","10.4","10.9",36.64690992
"1467","10.5","10.9",9.560929049
"1468","10.6","10.9",568.7321271
"1470","10.8","10.9",105.4419106
"1471","10.9","10.9",21.35937835
"1472","11.01-6","10.9",14.82185595
"1478","16","10.9",2.058363647
"1479","17","10.9",49.31272201
"1480","18","10.9",0.951820186
"1481","19","10.9",11.96238791
"1483","20B","10.9",0.135369387
"1486","20.4","10.9",0.14930087
"1487","20.5","10.9",0.844330876
"1488","21","10.9",41.22836447
"1489","22","10.9",21.6922802
"1494","25OTHER","10.9",109.023817
"1497","27","10.9",0.844175451
"1498","28","10.9",0.84570681
"1499","29","10.9",0.84570681
"1504","32","10.9",2.565570255
"1507","33OTHER","10.9",7.703914549
"1508","35.1","10.9",51.08758327
"1509","35.2-3","10.9",21.60655589
"1510","36","10.9",4.247208689
"1511","37","10.9",2.74898657
